,artist_no_tags,artistGGL,website
223,"['Benjamino Bufano','Brian Holt', 'Kenneth Matsumoto']","['https://en.wikipedia.org/wiki/Beniamino_Bufano', 'https://www.artobjectgallery.com/index/']",
224,"['Barbara Kasten','Ed Moses','Selina Trieff','Rupert Garcia','Katherine Levin-Lau']","['http://barbarakasten.net/','https://en.wikipedia.org/wiki/Ed_Moses_(artist)','https://en.wikipedia.org/wiki/Selina_Trieff','http://www.artnet.com/artists/rupert-garcia/','https://katherinelevinlau.com/']",
225,Cyrcle,http://www.cyrcle.com/,http://www.cyrcle.com/
226,Judith F. Baca,['http://www.judybaca.com/'],
227,John Pugh copy of 61,,
228,Barbara Grygutis,['http://www.barbaragrygutis.com/'],
229,Juan Luna-Avin & Julio Cesar Morales,[],
230,El Mac (Miles MacGregor),['http://elmac.net/'],http://elmac.net/
231,Jim Miner,[],
232,Troy Corliss,['http://www.troycorliss.com/'],
233,Lucy Liew,['http://lucyliewart.com/''],
234,Ricky Watts,['https://www.rickywatts.com/about/'],
235,Abel Gonzalez,['http://www.abelgstudios.com/'],
236,"Francisco Ramirez and Max DeHart.  Source: Franciso Ramirez, https://www.instagram.com/fco1980/.","['https://www.instagram.com/fco1980/','https://maxdehart.com']","['https://www.instagram.com/fco1980/', 'https://www.instagram.com/maxdehart/']"
237," ['Mike Bondi', 'Alan Masaoka',' Tom Stanton',' Penelope Fried',' Pam Morris',' Rick Arnitz',' Brian Blood', ' Jamie Brunson',' Willard Dixon','Wade Hoefer',' Amy Kaufman',' Jeff Long', 'Carloe Pierce',' Silvia Poloto']","['http://www.michaelbondi.com/','http://www.masaokaglassdesign.com/','https://www.legacy.com/obituaries/mercurynews/obituary.aspx?n=thomas-stanton&pid=176241604',http://www.rickarnitz.com/','https://brianblood.com/',http://www.jamiebrunson.com/','http://willarddixon.com/Artist.asp?ArtistID=24417&Akey=5L235NWB','http://www.artnet.com/artists/wade-hoefer/','http://www.amykaufman.net/',http://www.jeffreylongstudio.com/','http://www.carolepierceart.com/artist-statement/','http://poloto.com/']",
238,"Bu Nation, Abel Gonzalez and Sam Rodriguez","['https://www.casscontemporary.com/artists/bu-nation/','http://samrodriguezart.com/','http://www.abelgstudios.com/']",http://samrodriguezart.com/
239,Therese May,['http://www.theresemay.com/'],
240,Steve Durie & Bruce Gardner,,
241,Francisco Ramirez,https://www.instagram.com/fco1980/,https://www.instagram.com/fco1980/
